,Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance,Lowest,Highest,ave,Plan,NO
149,1448,中南财经政法大学,10520,2012,理科,湖北,中南财经政法大学,125,5.87,0.049244712999999996,1963226,5758.0,340.9562348038,979.0,574.0,625.0,595.0,119.0,第一批
150,1460,中南财经政法大学,10520,2014,理科,湖北,中南财经政法大学,129,62.06,0.0574675325,2466849,5799.0,425.3921365753,979.0,603.0,636.0,613.0,136.0,第一批
151,1465,中南财经政法大学,10520,2015,理科,湖北,中南财经政法大学,126,64.04,0.0580343214,2736704,5816.0,470.5474552957,979.0,599.0,,610.0,,第一批
152,1465,中南财经政法大学,10520,2015,理科,湖北,中南财经政法大学,126,64.04,0.0580343214,2736704,5816.0,470.5474552957,979.0,,,571.0,,提前批
153,1467,中南财经政法大学,10520,2014,文科,湖北,中南财经政法大学,118,62.06,0.0574675325,2466849,5799.0,425.3921365753,979.0,596.0,632.0,620.0,110.0,第一批
154,1475,中南财经政法大学,10520,2013,文科,湖北,中南财经政法大学,110,5.13,0.0469586375,2225045,5779.0,385.0224952414,979.0,595.0,631.0,612.0,100.0,第一批
155,1483,中南财经政法大学,10520,2011,文科,湖北,中南财经政法大学,97,5.78,0.0493927126,1596761,5727.9143,278.7683118792,979.0,609.0,645.0,623.0,99.0,第一批
156,1483,中南财经政法大学,10520,2011,文科,湖北,中南财经政法大学,97,5.78,0.0493927126,1596761,5727.9143,278.7683118792,979.0,,616.0,607.0,4.0,不详
157,1505,中南财经政法大学,10520,2015,文科,湖北,中南财经政法大学,113,64.04,0.0580343214,2736704,5816.0,470.5474552957,979.0,611.0,,615.0,,第一批
158,1505,中南财经政法大学,10520,2015,文科,湖北,中南财经政法大学,113,64.04,0.0580343214,2736704,5816.0,470.5474552957,979.0,,,603.0,,提前批
159,1520,中南财经政法大学,10520,2010,理科,湖北,中南财经政法大学,125,5.94,0.0448559671,1296110,5720.0,226.5926573427,979.0,549.0,619.0,576.0,901.0,第一批
160,1520,中南财经政法大学,10520,2010,理科,湖北,中南财经政法大学,125,5.94,0.0448559671,1296110,5720.0,226.5926573427,979.0,520.0,613.0,545.0,35.0,提前批
