,Unnamed: 0,Label,UniversityNo,University_Name_Location,Distance,Province,GDP,Population,GDP_Per_Person,Year,Ranking_Scores,Media_Impact,Topic,Plan_Number,Label.1,Lowest,Highest,ave,Plan,NO
1350,1350,24,10697,西北大学,1647.0,陕西,1012348,3735.0,271.0436412316,2011,11.63,0.0449392713,理科,4,24,621.0,630.0,625.0,5.0,第一批
1351,1351,26,10697,西北大学,1647.0,陕西,1768994,3775.0,468.6076821192,2015,66.67,0.06443057719999999,文科,8,26,594.0,,596.0,,第一批
1352,1352,19,10699,西北工业大学,1641.0,陕西,816980,3727.0,219.205795546,2010,18.09,0.0,文科,4,19,521.0,537.0,530.0,7.0,第一批
1353,1353,27,10699,西北工业大学,1641.0,陕西,1604521,3764.0,426.2808182784,2014,65.87,0.0420454545,理科,34,27,595.0,626.0,611.0,30.0,第一批
1354,1354,25,10699,西北工业大学,1641.0,陕西,1251230,3743.0,334.2853326209,2012,15.62,0.024652568,理科,25,25,575.0,608.0,595.0,21.0,第一批
1355,1355,17,10699,西北工业大学,1641.0,陕西,1012348,3735.0,271.0436412316,2011,17.08,0.0,理科,21,17,637.0,659.0,644.0,21.0,第一批
1356,1356,18,10699,西北工业大学,1641.0,陕西,1251230,3743.0,334.2853326209,2012,15.62,0.024652568,文科,2,18,590.0,591.0,590.0,3.0,第一批
1357,1357,18,10699,西北工业大学,1641.0,陕西,1445368,3753.0,385.12336797230006,2013,14.41,0.0248175182,文科,4,18,597.0,598.0,598.0,2.0,第一批
1358,1358,16,10699,西北工业大学,1641.0,陕西,1604521,3764.0,426.2808182784,2014,65.87,0.0420454545,文科,4,16,597.0,606.0,601.0,4.0,第一批
1359,1359,21,10699,西北工业大学,1641.0,陕西,1768994,3775.0,468.6076821192,2015,67.82,0.0463338534,理科,41,21,596.0,,596.0,,第一批
1360,1360,22,10699,西北工业大学,1641.0,陕西,1012348,3735.0,271.0436412316,2011,17.08,0.0,文科,4,22,596.0,607.0,602.0,4.0,第一批
1361,1361,20,10699,西北工业大学,1641.0,陕西,1768994,3775.0,468.6076821192,2015,67.82,0.0463338534,文科,4,20,599.0,,599.0,,第一批
1362,1362,17,10699,西北工业大学,1641.0,陕西,1445368,3753.0,385.12336797230006,2013,14.41,0.0248175182,理科,30,17,586.0,626.0,608.0,25.0,第一批
1363,1363,20,10699,西北工业大学,1641.0,陕西,816980,3727.0,219.205795546,2010,18.09,0.0,理科,21,20,542.0,615.0,579.0,156.0,第一批
1364,1364,17,10613,西南交通大学,1588.0,四川,2626077,8107.0,323.927100037,2014,63.84,0.0438311688,文科,14,17,594.0,607.0,601.0,12.0,第一批
1365,1365,19,10613,西南交通大学,1588.0,四川,2387280,8076.2,295.5944627424,2013,9.61,0.0277372263,文科,12,19,578.0,601.0,595.0,6.0,第一批
1366,1366,21,10613,西南交通大学,1588.0,四川,1718548,8044.92,213.6190291513,2011,10.15,0.0,文科,7,21,599.0,600.0,599.0,4.0,第一批
1367,1367,20,10613,西南交通大学,1588.0,四川,1718548,8044.92,213.6190291513,2011,10.15,0.0,理科,100,20,623.0,653.0,638.0,92.0,第一批
1368,1368,19,10613,西南交通大学,1588.0,四川,2102668,8050.0,261.2009937888,2012,10.33,0.0277039275,理科,104,19,569.0,601.0,587.0,108.0,第一批
1369,1369,18,10613,西南交通大学,1588.0,四川,2102668,8050.0,261.2009937888,2012,10.33,0.0277039275,文科,6,18,585.0,600.0,591.0,7.0,第一批
1370,1370,21,10613,西南交通大学,1588.0,四川,2387280,8076.2,295.5944627424,2013,9.61,0.0277372263,理科,112,21,582.0,628.0,606.0,104.0,第一批
1371,1371,23,10613,西南交通大学,1588.0,四川,2853666,8140.0,350.5732186732,2015,64.73,0.0,理科,121,23,592.0,,599.0,,第一批
1372,1372,20,10613,西南交通大学,1588.0,四川,1415128,8185.0,172.8928527795,2010,9.77,0.026748971200000003,理科,92,20,547.0,588.0,567.0,198.0,第一批
1373,1373,20,10613,西南交通大学,1588.0,四川,1415128,8185.0,172.8928527795,2010,9.77,0.026748971200000003,理科,92,20,535.0,571.0,547.0,21.0,第二批
1374,1374,21,10613,西南交通大学,1588.0,四川,2626077,8107.0,323.927100037,2014,63.84,0.0438311688,理科,110,21,584.0,618.0,601.0,112.0,第一批
1375,1375,18,10613,西南交通大学,1588.0,四川,1415128,8185.0,172.8928527795,2010,9.77,0.026748971200000003,文科,4,18,518.0,536.0,526.0,16.0,第一批
1376,1376,18,10613,西南交通大学,1588.0,四川,1415128,8185.0,172.8928527795,2010,9.77,0.026748971200000003,文科,4,18,496.0,520.0,507.0,3.0,第二批
1377,1377,21,10613,西南交通大学,1588.0,四川,2853666,8140.0,350.5732186732,2015,64.73,0.0,文科,17,21,594.0,,598.0,,第一批
1378,1378,20,10635,西南大学,1581.0,重庆,1426540,2991.0,476.9441658308001,2015,65.15,0.0742589704,文科,12,20,599.0,,599.0,,第一批
