Label,University_Name,UniversityNo,Year,Topic,Province,University_Name_Location,Plan_Number,Ranking_Scores,Media_Impact,GDP,Population,GDP_Per_Person,Distance
10067,山东大学,19422,2013,理科,山东,山东大学威海分校,48,28.09,0.1221411192,5001324,9684.87,516.4058990983,1803
10079,山东大学,10422,2015,理科,山东,山东大学,99,72.58,0.1505460218,5942659,9789,607.0751864338,1803
10116,广东医学院,10571,2015,理科,广东,广东医学院,688,0,0,6779224,10724,632.1544199925,431
10117,广东外语外语大学,11846,2013,文科,广东,广东外语外语大学,1971,0,0,5706792,10594,538.6815178403,3.4
10124,广东外语外语大学,11846,2013,文科,广东,广东外语外语大学,1971,0,0,5706792,10594,538.6815178403,3.4
10129,广东外语外贸大学,11846,2013,理科,广东,广东外语外贸大学,1821,1.16,0.0279805353,5706792,10594,538.6815178403,22.5
10133,广东外语外贸大学,11846,2012,文科,广东,广东外语外贸大学,1940,1.37,0.0280362538,5321028,10505,506.5233698239,22.5
10142,广东外语外贸大学,11846,2014,文科,广东,广东外语外贸大学,2086,60.5,0,6216397,10644,584.0282788425,22.5
10144,广东外语外贸大学,11846,2010,理科,广东,广东外语外贸大学,1909,1.5,0,3948256,10130.1854628636,389.7516007455,22.5
10145,广东外语外贸大学,11846,2010,理科,广东,广东外语外贸大学,1909,1.5,0,3948256,10130.1854628636,389.7516007455,22.5
10157,广东外语外贸大学,11846,2013,理科,广东,广东外语外贸大学,1821,1.16,0.0279805353,5706792,10594,538.6815178403,22.5
10161,广东外语外贸大学,11846,2015,文科,广东,广东外语外贸大学,2089,61.97,0,6779224,10724,632.1544199925,22.5
10162,广东外语外贸大学,11846,2015,文科,广东,广东外语外贸大学,2089,61.97,0,6779224,10724,632.1544199925,22.5
10174,广东外语外贸大学,11846,2014,文科,广东,广东外语外贸大学,2086,60.5,0,6216397,10644,584.0282788425,22.5
10183,广东外语外贸大学,11846,2011,理科,广东,广东外语外贸大学,1908,1.47,0.0279757085,4601306,10440.94,440.6984428605,22.5
10193,广东外语外贸大学,11846,2010,文科,广东,广东外语外贸大学,2024,1.5,0,3948256,10130.1854628636,389.7516007455,22.5
10194,广东外语外贸大学,11846,2010,文科,广东,广东外语外贸大学,2024,1.5,0,3948256,10130.1854628636,389.7516007455,22.5
10205,广东外语外贸大学,11846,2014,理科,广东,广东外语外贸大学,1929,60.5,0,6216397,10644,584.0282788425,22.5
10209,广东外语外贸大学,11846,2015,理科,广东,广东外语外贸大学,1858,61.97,0,6779224,10724,632.1544199925,22.5
10210,广东外语外贸大学,11846,2015,理科,广东,广东外语外贸大学,1858,61.97,0,6779224,10724,632.1544199925,22.5
10222,广东外语外贸大学,11846,2011,理科,广东,广东外语外贸大学,1908,1.47,0.0279757085,4601306,10440.94,440.6984428605,22.5
10223,广东外语外贸大学,11846,2011,文科,广东,广东外语外贸大学,1993,1.47,0.0279757085,4601306,10440.94,440.6984428605,22.5
10229,广东外语外贸大学,11846,2012,理科,广东,广东外语外贸大学,1839,1.37,0.0280362538,5321028,10505,506.5233698239,22.5
